1609460096s | Voltage: 3.82 V, Current: 858.00 mA, SOC: 18.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609460096s | Voltage: 3.84 V, Current: 820.00 mA, SOC: 18.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609460096s | Voltage: 3.84 V, Current: 815.00 mA, SOC: 18.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609460096s | Voltage: 3.82 V, Current: 822.00 mA, SOC: 18.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609460096s | Voltage: 3.81 V, Current: 799.00 mA, SOC: 18.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609460096s | Voltage: 3.84 V, Current: 875.00 mA, SOC: 18.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609460096s | Voltage: 3.81 V, Current: 752.00 mA, SOC: 18.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609460096s | Voltage: 3.86 V, Current: 842.00 mA, SOC: 19.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609460096s | Voltage: 3.82 V, Current: 819.00 mA, SOC: 19.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609460096s | Voltage: 3.86 V, Current: 794.00 mA, SOC: 19.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609460096s | Voltage: 3.81 V, Current: 803.00 mA, SOC: 19.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609460096s | Voltage: 3.83 V, Current: 869.00 mA, SOC: 19.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609460096s | Voltage: 3.86 V, Current: 795.00 mA, SOC: 19.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609460096s | Voltage: 3.83 V, Current: 801.00 mA, SOC: 19.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609460096s | Voltage: 3.86 V, Current: 850.00 mA, SOC: 19.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609460096s | Voltage: 3.83 V, Current: 837.00 mA, SOC: 19.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609460096s | Voltage: 3.85 V, Current: 842.00 mA, SOC: 19.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609460096s | Voltage: 3.85 V, Current: 809.00 mA, SOC: 19.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609460096s | Voltage: 3.87 V, Current: 777.00 mA, SOC: 19.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609460096s | Voltage: 3.83 V, Current: 851.00 mA, SOC: 20.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609460096s | Voltage: 3.82 V, Current: 793.00 mA, SOC: 20.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609460096s | Voltage: 3.82 V, Current: 832.00 mA, SOC: 20.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609460096s | Voltage: 3.87 V, Current: 844.00 mA, SOC: 20.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609460096s | Voltage: 3.87 V, Current: 864.00 mA, SOC: 20.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609460224s | Voltage: 3.87 V, Current: 756.00 mA, SOC: 20.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609460224s | Voltage: 3.87 V, Current: 819.00 mA, SOC: 20.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609460224s | Voltage: 3.88 V, Current: 841.00 mA, SOC: 20.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609460224s | Voltage: 3.88 V, Current: 817.00 mA, SOC: 20.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609460224s | Voltage: 3.87 V, Current: 817.00 mA, SOC: 20.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609460224s | Voltage: 3.87 V, Current: 783.00 mA, SOC: 20.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609460224s | Voltage: 3.83 V, Current: 808.00 mA, SOC: 21.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609460224s | Voltage: 3.82 V, Current: 806.00 mA, SOC: 21.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609460224s | Voltage: 3.82 V, Current: 801.00 mA, SOC: 21.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609460224s | Voltage: 3.82 V, Current: 766.00 mA, SOC: 21.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609460224s | Voltage: 3.88 V, Current: 842.00 mA, SOC: 21.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609460224s | Voltage: 3.83 V, Current: 801.00 mA, SOC: 21.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609460224s | Voltage: 3.84 V, Current: 852.00 mA, SOC: 21.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609460224s | Voltage: 3.84 V, Current: 840.00 mA, SOC: 21.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609460224s | Voltage: 3.88 V, Current: 857.00 mA, SOC: 21.0 %, USB_Protocol: 136, USB_Current: 2000 mA
