1609460096s | Voltage: 3.50 V, Current: -1019.00 mA, SOC: 27.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609460096s | Voltage: 3.47 V, Current: -2290.00 mA, SOC: 26.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609460096s | Voltage: 3.38 V, Current: -1609.00 mA, SOC: 26.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609460096s | Voltage: 3.39 V, Current: -1592.00 mA, SOC: 26.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609460096s | Voltage: 3.46 V, Current: -1617.00 mA, SOC: 26.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609460096s | Voltage: 3.37 V, Current: -1616.00 mA, SOC: 25.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609460096s | Voltage: 3.43 V, Current: -1608.00 mA, SOC: 25.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609460096s | Voltage: 3.48 V, Current: -1701.00 mA, SOC: 25.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609460096s | Voltage: 3.37 V, Current: -1554.00 mA, SOC: 25.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609460096s | Voltage: 3.47 V, Current: -1500.00 mA, SOC: 25.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609460096s | Voltage: 3.44 V, Current: -1513.00 mA, SOC: 24.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609460096s | Voltage: 3.47 V, Current: -1521.00 mA, SOC: 24.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609460096s | Voltage: 3.45 V, Current: -1603.00 mA, SOC: 24.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609460096s | Voltage: 3.41 V, Current: -1616.00 mA, SOC: 24.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609460096s | Voltage: 3.37 V, Current: -1695.00 mA, SOC: 23.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609460096s | Voltage: 3.37 V, Current: -1558.00 mA, SOC: 23.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609460096s | Voltage: 3.41 V, Current: -1512.00 mA, SOC: 23.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609460096s | Voltage: 3.46 V, Current: -1390.00 mA, SOC: 23.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609460096s | Voltage: 3.37 V, Current: -1570.00 mA, SOC: 22.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609460096s | Voltage: 3.45 V, Current: -1625.00 mA, SOC: 22.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609460096s | Voltage: 3.38 V, Current: -1614.00 mA, SOC: 22.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609460096s | Voltage: 3.47 V, Current: -1545.00 mA, SOC: 22.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609460224s | Voltage: 3.46 V, Current: -1502.00 mA, SOC: 21.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609460224s | Voltage: 3.41 V, Current: -1636.00 mA, SOC: 21.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609460224s | Voltage: 3.36 V, Current: -1618.00 mA, SOC: 21.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609460224s | Voltage: 3.46 V, Current: -1679.00 mA, SOC: 21.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609460224s | Voltage: 3.41 V, Current: -1508.00 mA, SOC: 21.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609460224s | Voltage: 3.38 V, Current: -1600.00 mA, SOC: 20.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609460224s | Voltage: 3.36 V, Current: -1621.00 mA, SOC: 20.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609460224s | Voltage: 3.43 V, Current: -1498.00 mA, SOC: 20.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609460224s | Voltage: 3.37 V, Current: -1516.00 mA, SOC: 20.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609460224s | Voltage: 3.36 V, Current: -1514.00 mA, SOC: 19.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609460224s | Voltage: 3.51 V, Current: -811.00 mA, SOC: 19.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609460224s | Voltage: 3.51 V, Current: -827.00 mA, SOC: 19.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609460224s | Voltage: 3.51 V, Current: -809.00 mA, SOC: 19.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609460224s | Voltage: 3.52 V, Current: -762.00 mA, SOC: 19.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609460224s | Voltage: 3.52 V, Current: -778.00 mA, SOC: 19.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609460224s | Voltage: 3.51 V, Current: -797.00 mA, SOC: 19.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609460224s | Voltage: 3.51 V, Current: -807.00 mA, SOC: 19.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609460224s | Voltage: 3.52 V, Current: -766.00 mA, SOC: 18.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609460224s | Voltage: 3.52 V, Current: -808.00 mA, SOC: 18.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609460224s | Voltage: 3.52 V, Current: -804.00 mA, SOC: 18.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609460224s | Voltage: 3.52 V, Current: -796.00 mA, SOC: 18.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609460224s | Voltage: 3.52 V, Current: -769.00 mA, SOC: 18.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609460224s | Voltage: 3.53 V, Current: -729.00 mA, SOC: 18.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609460224s | Voltage: 3.52 V, Current: -780.00 mA, SOC: 18.0 %, USB_Protocol: 114, USB_Current: 5700 mA
